#Vertices 	Arestas
4 		4
5 		9
6 		10
7 		13
8 		17
9 		23
10 		26
11 		36
12 		39
13 		48
14 		50
15 		68
16 		71
17 		72
18 		83
19 		99
20 		109
21 		127
22 		153
23 		138
24 		162
25 		168
26 		202
27 		199
28 		232
29 		217
30 		254
31 		268
32 		275
33 		289
34 		348
35 		351
36 		395
37 		335
38 		406
39 		473
40 		417
41 		512
42 		511
43 		547
44 		584
45 		584
46 		588
47 		641
48 		644
49 		726
50 		745
51 		720
52 		783
53 		774
54 		804
55 		812
56 		870
57 		942
58 		851
59 		1022
60 		1057
61 		1116
62 		1128
63 		1049
64 		1177
65 		1129
66 		1197
67 		1258
68 		1335
69 		1378
70 		1355
71 		1395
72 		1454
73 		1509
74 		1608
75 		1623
76 		1587
77 		1564
78 		1530
79 		1573
80 		1800
81 		1748
82 		1833
83 		2008
84 		1912
85 		2031
86 		2104
87 		2051
88 		2021
89 		2258
90 		2341
91 		2217
92 		2307
93 		2209
94 		2352
95 		2438
96 		2432
97 		2746
98 		2535
99 		2376
