#Vertices 	Arestas
4 		6
5 		9
6 		13
7 		17
8 		26
9 		38
10 		36
11 		52
12 		62
13 		64
14 		85
15 		102
16 		115
17 		132
18 		143
19 		158
20 		195
21 		190
22 		173
23 		198
24 		274
25 		282
26 		298
27 		338
28 		300
29 		371
30 		404
31 		424
32 		466
33 		515
34 		492
35 		516
36 		600
37 		630
38 		589
39 		698
40 		751
41 		792
42 		814
43 		836
44 		830
45 		914
46 		939
47 		980
48 		1070
49 		993
50 		1056
51 		1168
52 		1187
53 		1294
54 		1290
55 		1372
56 		1483
57 		1451
58 		1373
59 		1459
60 		1509
61 		1603
62 		1684
63 		1760
64 		1725
65 		1825
66 		1897
67 		1964
68 		1995
69 		1960
70 		2183
71 		2256
72 		2270
73 		2319
74 		2425
75 		2485
76 		2609
77 		2560
78 		2603
79 		2700
80 		2752
81 		2580
82 		2993
83 		3096
84 		3079
85 		3142
86 		3094
87 		3020
88 		3431
89 		3198
90 		3426
91 		3709
92 		3728
93 		3581
94 		3871
95 		3869
96 		4112
97 		3992
98 		4119
99 		4036
