#Vertices 	Arestas
4 		3
5 		5
6 		9
7 		9
8 		15
9 		15
10 		20
11 		30
12 		31
13 		33
14 		42
15 		57
16 		55
17 		57
18 		61
19 		67
20 		98
21 		96
22 		120
23 		130
24 		135
25 		122
26 		152
27 		134
28 		176
29 		198
30 		187
31 		209
32 		186
33 		228
34 		237
35 		250
36 		280
37 		323
38 		304
39 		321
40 		355
41 		381
42 		387
43 		423
44 		460
45 		461
46 		456
47 		515
48 		516
49 		562
50 		527
51 		597
52 		592
53 		578
54 		611
55 		622
56 		719
57 		685
58 		760
59 		826
60 		773
61 		788
62 		882
63 		850
64 		910
65 		968
66 		961
67 		946
68 		1040
69 		988
70 		1053
71 		968
72 		1140
73 		1225
74 		1114
75 		1159
76 		1221
77 		1166
78 		1253
79 		1314
80 		1267
81 		1280
82 		1542
83 		1367
84 		1337
85 		1370
86 		1603
87 		1557
88 		1702
89 		1649
90 		1761
91 		1682
92 		1768
93 		1635
94 		1806
95 		1798
96 		1933
97 		1919
98 		2041
99 		2050
